CustomerID,SubscriptionLength,MonthlySpending,TotalSpent,ContractType,HasPremiumSupport,Churn
1,39,16.57,646.23,Monthly,No,1
2,52,47.61,2475.72,Monthly,Yes,0
3,29,13.11,380.19,Yearly,No,0
4,15,79.74,1196.1,Monthly,Yes,1
5,43,76.67,3296.81,Monthly,No,0
6,8,126.39,1011.12,Monthly,No,1
7,21,53.09,1114.89,Monthly,No,0
8,39,124.29,4847.31,Monthly,Yes,0
9,58,145.52,8440.16,Monthly,No,1
10,19,22.38,425.22,Monthly,Yes,0
11,23,120.85,2779.55,Yearly,No,0
12,11,92.59,1018.49,Monthly,No,0
13,11,77.21,849.31,Monthly,Yes,0
14,24,68.88,1653.12,Monthly,Yes,1
15,53,119.85,6352.05,Yearly,No,0
16,36,99.51,3582.36,Yearly,Yes,1
17,40,122.71,4908.4,Monthly,No,0
18,24,136.44,3274.56,Monthly,No,1
19,3,96.42,289.26,Monthly,No,0
20,22,147.26,3239.72,Yearly,Yes,0
21,53,95.13,5041.89,Yearly,Yes,0
22,2,99.13,198.26,Monthly,No,0
23,24,87.67,2104.08,Yearly,Yes,0
24,44,22.74,1000.56,Yearly,No,1
25,30,111.7,3351.0,Monthly,No,1
26,38,86.64,3292.32,Monthly,No,0
27,2,73.13,146.26,Monthly,No,0
28,60,137.47,8248.2,Monthly,No,0
29,21,51.71,1085.91,Yearly,No,0
30,33,83.3,2748.9,Monthly,Yes,0
31,12,107.67,1292.04,Monthly,No,1
32,58,121.51,7047.58,Monthly,No,0
33,22,74.31,1634.82,Monthly,No,0
34,44,127.89,5627.16,Monthly,No,0
35,25,117.65,2941.25,Monthly,No,1
36,49,19.27,944.23,Monthly,Yes,0
37,27,16.42,443.34,Monthly,No,0
38,59,96.91,5717.69,Monthly,Yes,0
39,42,58.64,2462.88,Monthly,Yes,0
40,28,39.28,1099.84,Monthly,No,0
41,60,91.15,5469.0,Monthly,Yes,0
42,16,57.82,925.12,Monthly,No,0
43,15,85.22,1278.3,Monthly,Yes,0
44,47,74.42,3497.74,Monthly,No,0
45,51,91.87,4685.37,Monthly,No,1
46,44,66.04,2905.76,Yearly,No,1
47,55,107.67,5921.85,Monthly,No,1
48,52,35.21,1830.92,Monthly,No,0
49,57,107.51,6128.07,Yearly,No,0
50,3,67.63,202.89,Monthly,No,0
51,37,132.4,4898.8,Monthly,Yes,1
52,51,82.13,4188.63,Yearly,Yes,0
53,7,146.24,1023.68,Yearly,No,1
54,21,94.27,1979.67,Monthly,No,1
55,9,41.34,372.06,Monthly,Yes,0
56,39,125.05,4876.95,Monthly,Yes,0
57,18,58.31,1049.58,Monthly,Yes,0
58,4,58.67,234.68,Monthly,No,1
59,25,14.45,361.25,Monthly,No,0
60,60,86.82,5209.2,Monthly,No,1
61,14,84.82,1187.48,Monthly,No,0
62,50,59.84,2992.0,Yearly,Yes,0
63,58,135.19,7841.02,Monthly,Yes,1
64,9,28.02,252.18,Monthly,No,0
65,26,56.21,1461.46,Monthly,Yes,0
66,53,55.02,2916.06,Monthly,No,0
67,2,22.92,45.84,Monthly,No,0
68,20,77.36,1547.2,Monthly,No,0
69,28,106.29,2976.12,Monthly,Yes,0
70,47,81.63,3836.61,Monthly,No,1
71,60,31.98,1918.8,Monthly,Yes,1
72,7,62.82,439.74,Monthly,Yes,0
73,44,10.36,455.84,Monthly,No,0
74,8,131.56,1052.48,Monthly,No,1
75,47,21.83,1026.01,Yearly,Yes,0
76,35,93.62,3276.7,Monthly,No,1
77,14,148.08,2073.12,Monthly,Yes,0
78,17,85.12,1447.04,Monthly,Yes,0
79,36,139.37,5017.32,Monthly,No,1
80,50,43.06,2153.0,Yearly,No,0
81,40,116.39,4655.6,Monthly,Yes,1
82,4,84.38,337.52,Yearly,Yes,0
83,2,110.87,221.74,Monthly,No,1
84,6,18.73,112.38,Monthly,No,0
85,54,30.68,1656.72,Monthly,No,0
86,42,28.64,1202.88,Yearly,Yes,0
87,4,106.2,424.8,Monthly,Yes,0
88,54,128.22,6923.88,Monthly,Yes,0
89,29,114.95,3333.55,Yearly,No,0
90,18,14.27,256.86,Monthly,No,0
91,26,131.41,3416.66,Monthly,Yes,0
92,44,59.58,2621.52,Monthly,No,0
93,34,65.6,2230.4,Yearly,No,1
94,10,24.68,246.8,Monthly,No,1
95,36,113.24,4076.64,Yearly,Yes,0
